timestamp,WU,SAWU,w_util,r_util,g_util,old,yng,std
1500000,0.511333,0.511333,0.066667,0.200000,0.000000,0,0,0.000000
3000000,0.511333,0.511333,0.066667,0.200000,0.000000,0,0,0.000000
4500000,0.511333,0.511333,0.066667,0.200000,0.000000,0,0,0.000000
6000000,0.511333,0.511333,0.066667,0.200000,0.000000,0,0,0.000000
7500000,0.511333,0.511333,0.066667,0.200000,0.000000,0,0,0.000000
9000000,0.511333,0.511333,0.066667,0.200000,0.000000,0,0,0.000000
10500000,0.511333,0.511333,0.066667,0.200000,0.000000,0,0,0.000000
12000000,0.520273,0.520273,0.066667,0.200000,0.023980,1,0,0.217945
13500000,0.520273,0.520273,0.066467,0.202920,0.022152,1,0,0.263391
15000000,0.520273,0.520273,0.066467,0.204760,0.022152,1,0,0.330719
16500000,0.520273,0.520273,0.066467,0.205260,0.023980,1,0,0.357071
18000000,0.520273,0.520273,0.066467,0.205520,0.025808,1,0,0.400000
19500000,0.520273,0.520273,0.066467,0.205860,0.023980,1,0,0.433013
21000000,0.520273,0.520273,0.066467,0.205580,0.027637,1,0,0.446514
22500000,0.529213,0.529213,0.066467,0.205820,0.031793,2,0,0.565133
24000000,0.529213,0.529213,0.066267,0.209480,0.031793,2,0,0.659071
25500000,0.529213,0.529213,0.066267,0.211120,0.031793,2,0,0.700000
27000000,0.529213,0.529213,0.066267,0.211380,0.033077,2,0,0.739932
28500000,0.529213,0.529213,0.066467,0.209560,0.033667,2,0,0.774597
30000000,0.529213,0.529213,0.066267,0.208240,0.033622,2,0,0.805838
31500000,0.538153,0.538153,0.066267,0.210180,0.036000,3,0,0.891277
33000000,0.538153,0.538153,0.066067,0.213180,0.037833,3,0,0.966631
34500000,0.538153,0.538153,0.066067,0.213840,0.039047,3,0,0.988686
36000000,0.538153,0.538153,0.066267,0.213100,0.039667,3,0,1.053565
37500000,0.538153,0.538153,0.066067,0.214940,0.039047,3,0,1.112430
39000000,0.538153,0.538153,0.066267,0.214640,0.041435,3,0,1.187434
40500000,0.538153,0.538153,0.066067,0.215700,0.041435,3,0,1.222446
42000000,0.538153,0.538153,0.066067,0.217420,0.045092,3,0,1.288167
43500000,0.547093,0.547093,0.066067,0.217680,0.045017,4,0,1.367251
45000000,0.547093,0.547093,0.066067,0.218960,0.047500,4,0,1.440269
46500000,0.547093,0.547093,0.065867,0.219380,0.048663,4,0,1.466288
48000000,0.547093,0.547093,0.065867,0.219560,0.049248,4,0,1.548386
49500000,0.547093,0.547093,0.065867,0.221540,0.051077,4,0,1.624808
51000000,0.547093,0.547093,0.065867,0.222560,0.053000,4,0,1.681517
52500000,0.547093,0.547093,0.065867,0.221240,0.054733,4,0,1.749285
54000000,0.556033,0.556033,0.065867,0.222160,0.054633,5,0,1.826883
55500000,0.556033,0.556033,0.065867,0.223880,0.055333,5,0,1.870662
57000000,0.556033,0.556033,0.065867,0.225700,0.059000,5,0,1.941488
58500000,0.556033,0.556033,0.065867,0.226120,0.059000,5,0,2.008575
60000000,0.556033,0.556033,0.065767,0.226480,0.059000,5,0,2.072288
61500000,0.564973,0.564973,0.065667,0.226540,0.063167,6,0,2.156241
63000000,0.564973,0.564973,0.065467,0.230120,0.062547,6,0,2.224719
64500000,0.564973,0.564973,0.065667,0.228960,0.062427,6,0,2.300951
66000000,0.564973,0.564973,0.065667,0.231040,0.063167,6,0,2.373684
67500000,0.564973,0.564973,0.065467,0.230980,0.062547,6,0,2.432976
69000000,0.564973,0.564973,0.065667,0.230660,0.063683,6,0,2.449362
70500000,0.564973,0.564973,0.066467,0.223100,0.066703,6,0,2.524752
72000000,0.573913,0.573913,0.065467,0.228220,0.067333,7,0,2.570992
73500000,0.573913,0.573913,0.065467,0.234660,0.072188,7,0,2.641496
75000000,0.573913,0.573913,0.065467,0.235380,0.072043,7,0,2.751250
76500000,0.573913,0.573913,0.065467,0.236120,0.070360,7,0,2.815027
78000000,0.573913,0.573913,0.065467,0.234920,0.073867,7,0,2.885199
79500000,0.582853,0.582853,0.065467,0.236340,0.069318,8,0,2.927350
81000000,0.582853,0.582853,0.066267,0.234420,0.076345,8,0,3.001562
82500000,0.582853,0.582853,0.065267,0.235980,0.075690,8,0,3.065024
84000000,0.582853,0.582853,0.065467,0.237560,0.076190,8,0,3.142352
85500000,0.582853,0.582853,0.065267,0.240020,0.080002,8,0,3.209264
87000000,0.582853,0.582853,0.065267,0.240080,0.078173,8,0,3.274045
88500000,0.582853,0.582853,0.065267,0.240460,0.082500,8,0,3.344305
90000000,0.591793,0.591793,0.065247,0.243240,0.081332,9,0,3.419704
91500000,0.591793,0.591793,0.066067,0.243820,0.083180,9,0,3.456787
93000000,0.591793,0.591793,0.064867,0.241160,0.083983,9,0,3.535446
94500000,0.591793,0.591793,0.065067,0.247260,0.082330,9,0,3.638681
96000000,0.591793,0.591793,0.065067,0.247000,0.089453,9,0,3.711806
97500000,0.591793,0.591793,0.065067,0.247900,0.091093,9,0,3.756328
99000000,0.600733,0.600733,0.064987,0.243560,0.092862,10,0,3.832428
100500000,0.600733,0.600733,0.066467,0.214620,0.092862,10,0,3.903844
102000000,0.600733,0.600733,0.064867,0.235660,0.090143,10,0,3.974607
103500000,0.600733,0.600733,0.065067,0.245420,0.089387,10,0,4.040343
105000000,0.600733,0.600733,0.065667,0.242300,0.087302,10,0,4.058248
106500000,0.600733,0.600733,0.066467,0.216560,0.095900,10,0,4.136424
108000000,0.609673,0.609673,0.064667,0.231360,0.097038,11,0,4.211591
109500000,0.609673,0.609673,0.064507,0.254360,0.097457,11,0,4.273172
111000000,0.609673,0.609673,0.064667,0.252180,0.092277,11,0,4.298546
112500000,0.609673,0.609673,0.066267,0.230300,0.098717,11,0,4.312119
114000000,0.609673,0.609673,0.064867,0.233940,0.092067,11,0,4.341587
115500000,0.618613,0.618613,0.064667,0.236320,0.101215,12,0,4.421468
117000000,0.618613,0.618613,0.064667,0.257040,0.102342,12,0,4.454211
118500000,0.618613,0.618613,0.064567,0.241040,0.097073,12,0,4.491938
120000000,0.618613,0.618613,0.066467,0.218880,0.104792,12,0,4.568848
121500000,0.618613,0.618613,0.064267,0.241800,0.099700,12,0,4.603735
123000000,0.618613,0.618613,0.064667,0.242900,0.107610,12,0,4.662618
124500000,0.618613,0.618613,0.064667,0.245520,0.099817,12,0,4.695477
126000000,0.618613,0.618613,0.065667,0.221000,0.099492,12,0,4.719044
127500000,0.627553,0.627553,0.065267,0.227220,0.110008,13,0,4.775916
129000000,0.627553,0.627553,0.066267,0.240420,0.103027,13,0,4.796874
130500000,0.627553,0.627553,0.065867,0.233120,0.106265,13,0,4.778860
132000000,0.627553,0.627553,0.066467,0.222000,0.112970,13,0,4.803904
133500000,0.627553,0.627553,0.064287,0.239960,0.105487,13,0,4.846648
135000000,0.636493,0.636493,0.066267,0.235560,0.115695,14,0,4.863062
136500000,0.636493,0.636493,0.065867,0.240540,0.107755,14,0,4.852770
138000000,0.645433,0.645433,0.063667,0.223800,0.107010,15,0,4.886461
139500000,0.645433,0.645433,0.066067,0.225440,0.112010,15,0,4.959775
141000000,0.645433,0.645433,0.064067,0.252740,0.116363,15,0,4.942102
142500000,0.645433,0.645433,0.066067,0.234160,0.117125,15,0,4.927220
144000000,0.645433,0.645433,0.065667,0.230040,0.112980,15,0,4.918333
145500000,0.645433,0.645433,0.066267,0.222320,0.126975,15,0,4.947158
147000000,0.645433,0.645433,0.066267,0.236880,0.118725,15,0,4.914011
148500000,0.645433,0.645433,0.065467,0.229540,0.122100,15,0,4.915219
150000000,0.645433,0.645433,0.063867,0.236780,0.119313,15,0,4.959272
151500000,0.645433,0.645433,0.065667,0.239960,0.123452,15,0,4.938370
153000000,0.645433,0.645433,0.065667,0.233140,0.119773,15,0,4.911148
154500000,0.645433,0.645433,0.065467,0.226220,0.125452,15,0,4.933558
156000000,0.654373,0.654373,0.065667,0.237100,0.136567,16,0,4.984914
157500000,0.654373,0.654373,0.065467,0.252220,0.125448,16,0,4.974686
159000000,0.654373,0.654373,0.065467,0.239660,0.123063,16,0,4.948737
160500000,0.654373,0.654373,0.065247,0.235480,0.137635,16,0,5.006933
162000000,0.654373,0.654373,0.065507,0.251840,0.130500,16,0,5.008742
163500000,0.663313,0.663313,0.064147,0.261180,0.127833,17,0,5.064027
165000000,0.663313,0.663313,0.065927,0.237220,0.133213,17,0,5.064336
166500000,0.663313,0.663313,0.066267,0.233580,0.131195,17,0,5.047215
168000000,0.663313,0.663313,0.065667,0.234500,0.136883,17,0,5.053711
169500000,0.663313,0.663313,0.065667,0.240240,0.130390,17,0,5.044241
171000000,0.672253,0.672253,0.063067,0.249300,0.137242,18,0,5.083060
172500000,0.672253,0.672253,0.063467,0.254300,0.136860,18,0,5.144839
174000000,0.672253,0.672253,0.066067,0.244780,0.130663,18,0,5.146844
175500000,0.672253,0.672253,0.065067,0.244860,0.133722,18,0,5.152608
177000000,0.681193,0.681193,0.065067,0.245220,0.142743,19,0,5.215122
178500000,0.681193,0.681193,0.065467,0.258120,0.135120,19,0,5.266344
180000000,0.681193,0.681193,0.065267,0.258340,0.141133,19,0,5.259277
181500000,0.681193,0.681193,0.064787,0.258160,0.139333,19,0,5.289081
183000000,0.681193,0.681193,0.064867,0.253480,0.141007,19,0,5.325352
184500000,0.681193,0.681193,0.064667,0.254960,0.139808,19,0,5.314837
186000000,0.681193,0.681193,0.065067,0.243660,0.138857,19,0,5.350176
