timestamp,WU,SAWU,w_util,r_util,g_util,old,yng,std
1500000,0.511333,0.511333,0.066667,0.200000,-33815284154368.000000,0,0,0.000000
3000000,0.511333,0.511333,0.066667,0.200000,-33815284154368.000000,0,0,0.000000
4500000,0.511333,0.511333,0.066667,0.200000,-33815284154368.000000,0,0,0.000000
6000000,0.511333,0.511333,0.066667,0.200000,-33815284154368.000000,0,0,0.000000
7500000,0.511333,0.511333,0.066667,0.200000,-33815284154368.000000,0,0,0.000000
9000000,0.511333,0.511333,0.066667,0.200000,-33815284154368.000000,0,0,0.000000
10500000,0.511333,0.511333,0.066667,0.200000,-33815284154368.000000,0,0,0.000000
12000000,0.520273,0.520273,0.066667,0.200000,0.020323,1,0,0.217945
13500000,0.520273,0.520273,0.066467,0.203340,0.020323,1,0,0.263391
15000000,0.520273,0.520273,0.066467,0.205040,0.020323,1,0,0.330719
16500000,0.520273,0.520273,0.066467,0.205460,0.022152,1,0,0.357071
18000000,0.520273,0.520273,0.066467,0.205620,0.023980,1,0,0.400000
19500000,0.529213,0.529213,0.066467,0.205680,0.022667,2,0,0.487340
21000000,0.529213,0.529213,0.066267,0.206840,0.023960,2,0,0.499375
22500000,0.529213,0.529213,0.066467,0.207140,0.025808,2,0,0.519013
24000000,0.529213,0.529213,0.066467,0.206300,0.028167,2,0,0.572276
25500000,0.529213,0.529213,0.066267,0.209020,0.029430,2,0,0.624500
27000000,0.529213,0.529213,0.066467,0.208340,0.031793,2,0,0.705337
28500000,0.529213,0.529213,0.066267,0.210520,0.031793,2,0,0.741198
30000000,0.538153,0.538153,0.066067,0.211900,0.033577,3,0,0.836286
31500000,0.538153,0.538153,0.066267,0.212820,0.035450,3,0,0.891277
33000000,0.538153,0.538153,0.066267,0.212060,0.035450,3,0,0.916515
34500000,0.538153,0.538153,0.066267,0.211660,0.035450,3,0,0.963068
36000000,0.538153,0.538153,0.066267,0.211540,0.037223,3,0,1.029563
37500000,0.547093,0.547093,0.066267,0.213500,0.036500,4,0,1.134681
39000000,0.547093,0.547093,0.065867,0.216340,0.039547,4,0,1.172337
40500000,0.547093,0.547093,0.066067,0.218420,0.043263,4,0,1.242729
42000000,0.547093,0.547093,0.066067,0.217640,0.043263,4,0,1.307431
43500000,0.547093,0.547093,0.066067,0.217120,0.045092,4,0,1.337909
45000000,0.547093,0.547093,0.066067,0.217540,0.045092,4,0,1.395529
46500000,0.547093,0.547093,0.066067,0.217120,0.049333,4,0,1.466288
48000000,0.547093,0.547093,0.065867,0.219780,0.049248,4,0,1.548386
49500000,0.556033,0.556033,0.065867,0.221960,0.051757,5,0,1.624808
51000000,0.556033,0.556033,0.065667,0.222480,0.052810,5,0,1.661137
52500000,0.556033,0.556033,0.065867,0.224160,0.051077,5,0,1.730426
54000000,0.556033,0.556033,0.065867,0.223220,0.049833,5,0,1.809523
55500000,0.556033,0.556033,0.065667,0.225460,0.054733,5,0,1.870662
57000000,0.556033,0.556033,0.065867,0.224260,0.058390,5,0,1.928568
58500000,0.556033,0.556033,0.065867,0.223180,0.058280,5,0,1.996090
60000000,0.564973,0.564973,0.065867,0.225840,0.058780,6,0,2.084316
61500000,0.564973,0.564973,0.065667,0.229200,0.055233,6,0,2.120731
63000000,0.564973,0.564973,0.065667,0.229100,0.060718,6,0,2.190890
64500000,0.564973,0.564973,0.065667,0.228840,0.058890,6,0,2.257764
