timestamp,WU,SAWU,w_util,r_util,g_util,old,yng,std
3000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
6000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
9000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
12000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
15000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
18000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
21000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
24000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
27000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
30000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
33000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
36000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
39000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
42000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
45000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
48000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
51000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
54000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
57000000,0.589000,0.589000,0.033333,0.400000,5988910987476992.000000,0,0,0.000000
60000000,0.603470,0.603470,0.033333,0.400000,0.008333,1,0,0.140000
63000000,0.603470,0.603470,0.033233,0.400000,0.008333,1,0,0.170587
66000000,0.603470,0.603470,0.033233,0.400020,0.011076,1,0,0.217945
69000000,0.603470,0.603470,0.033233,0.400000,0.010162,1,0,0.237487
72000000,0.603470,0.603470,0.033233,0.400100,0.011076,1,0,0.271293
75000000,0.603470,0.603470,0.033233,0.400100,0.011076,1,0,0.286182
78000000,0.603470,0.603470,0.033233,0.400240,0.011990,1,0,0.312890
81000000,0.603470,0.603470,0.033233,0.400240,0.011990,1,0,0.336304
84000000,0.603470,0.603470,0.033233,0.400160,0.011990,1,0,0.346987
87000000,0.603470,0.603470,0.033233,0.400280,0.011990,1,0,0.366606
90000000,0.603470,0.603470,0.033233,0.400320,0.011990,1,0,0.384187
93000000,0.603470,0.603470,0.033233,0.400400,0.012904,1,0,0.392301
96000000,0.603470,0.603470,0.033233,0.400260,0.012904,1,0,0.407308
99000000,0.603470,0.603470,0.033233,0.400280,0.012904,1,0,0.414246
102000000,0.603470,0.603470,0.033233,0.400460,0.013818,1,0,0.427083
105000000,0.603470,0.603470,0.033233,0.400400,0.013818,1,0,0.438634
108000000,0.603470,0.603470,0.033233,0.400300,0.014732,1,0,0.443959
111000000,0.603470,0.603470,0.033233,0.400560,0.014732,1,0,0.453762
114000000,0.603470,0.603470,0.033233,0.400700,0.015647,1,0,0.462493
117000000,0.603470,0.603470,0.033233,0.400400,0.015647,1,0,0.466476
120000000,0.603470,0.603470,0.033233,0.400620,0.018389,1,0,0.473709
123000000,0.603470,0.603470,0.033233,0.400600,0.076896,1,0,0.480000
126000000,0.617940,0.617940,0.033233,0.400560,0.012240,2,0,0.529150
129000000,0.617940,0.617940,0.033133,0.400740,0.013154,2,0,0.549454
132000000,0.617940,0.617940,0.033133,0.400600,0.014068,2,0,0.587452
135000000,0.617940,0.617940,0.033133,0.400980,0.014983,2,0,0.622495
138000000,0.617940,0.617940,0.033133,0.400820,0.014983,2,0,0.639062
141000000,0.617940,0.617940,0.033133,0.400820,0.014983,2,0,0.670522
144000000,0.617940,0.617940,0.033133,0.400680,0.014983,2,0,0.700000
147000000,0.617940,0.617940,0.033133,0.401040,0.014983,2,0,0.714073
150000000,0.617940,0.617940,0.033133,0.401120,0.016811,2,0,0.741013
153000000,0.617940,0.617940,0.033133,0.400960,0.016811,2,0,0.766485
156000000,0.617940,0.617940,0.033133,0.401020,0.016811,2,0,0.778717
159000000,0.617940,0.617940,0.033133,0.401120,0.017725,2,0,0.802247
162000000,0.617940,0.617940,0.033133,0.401220,0.018639,2,0,0.824621
165000000,0.617940,0.617940,0.033133,0.401240,0.018639,2,0,0.835404
168000000,0.617940,0.617940,0.033133,0.401380,0.018639,2,0,0.856213
171000000,0.617940,0.617940,0.033133,0.401360,0.019553,2,0,0.876071
174000000,0.617940,0.617940,0.033133,0.401840,0.019553,2,0,0.885664
177000000,0.617940,0.617940,0.033133,0.401640,0.019553,2,0,0.904213
180000000,0.617940,0.617940,0.033133,0.401440,0.020467,2,0,0.921955
183000000,0.617940,0.617940,0.033133,0.401220,0.022296,2,0,0.938935
186000000,0.617940,0.617940,0.033133,0.401300,0.024124,2,0,0.947154
189000000,0.632410,0.632410,0.033233,0.401440,0.016187,3,0,0.978315
192000000,0.632410,0.632410,0.033033,0.402380,0.017061,3,0,1.012868
195000000,0.632410,0.632410,0.033033,0.402080,0.017975,3,0,1.045897
198000000,0.632410,0.632410,0.033033,0.402300,0.017975,3,0,1.061885
201000000,0.632410,0.632410,0.033033,0.401800,0.017975,3,0,1.092887
204000000,0.632410,0.632410,0.033033,0.402780,0.018889,3,0,1.122675
207000000,0.632410,0.632410,0.033033,0.401720,0.019803,3,0,1.151347
210000000,0.632410,0.632410,0.033033,0.402720,0.019803,3,0,1.165290
213000000,0.632410,0.632410,0.033033,0.401720,0.020717,3,0,1.192434
216000000,0.632410,0.632410,0.033033,0.402640,0.020717,3,0,1.218646
219000000,0.632410,0.632410,0.033033,0.402480,0.020717,3,0,1.243985
222000000,0.632410,0.632410,0.033033,0.402500,0.020717,3,0,1.256344
225000000,0.632410,0.632410,0.033033,0.403040,0.020435,3,0,1.272635
228000000,0.632410,0.632410,0.033133,0.402380,0.022546,3,0,1.296148
231000000,0.632410,0.632410,0.033033,0.402340,0.022546,3,0,1.318939
234000000,0.632410,0.632410,0.033033,0.402960,0.022546,3,0,1.330075
237000000,0.632410,0.632410,0.033033,0.402640,0.023460,3,0,1.351851
240000000,0.632410,0.632410,0.033033,0.404080,0.024374,3,0,1.372989
243000000,0.632410,0.632410,0.033033,0.403080,0.025288,3,0,1.393521
246000000,0.632410,0.632410,0.033033,0.403080,0.028031,3,0,1.413471
249000000,0.632410,0.632410,0.033033,0.403400,0.029859,3,0,1.423235
252000000,0.646880,0.646880,0.033133,0.402880,0.020113,4,0,1.447204
255000000,0.646880,0.646880,0.032933,0.403200,0.020968,4,0,1.479053
258000000,0.646880,0.646880,0.032933,0.402980,0.021882,4,0,1.509967
261000000,0.646880,0.646880,0.032933,0.403040,0.021882,4,0,1.540000
264000000,0.646880,0.646880,0.032933,0.402980,0.022796,4,0,1.554703
267000000,0.646880,0.646880,0.032933,0.403400,0.022796,4,0,1.583509
270000000,0.646880,0.646880,0.032933,0.404360,0.023710,4,0,1.611552
273000000,0.646880,0.646880,0.032933,0.403480,0.023710,4,0,1.638872
276000000,0.646880,0.646880,0.032933,0.404440,0.024624,4,0,1.665503
279000000,0.646880,0.646880,0.032933,0.403400,0.024624,4,0,1.678571
282000000,0.646880,0.646880,0.032933,0.404020,0.025538,4,0,1.704230
