timestamp,WU,SAWU,w_util,r_util,g_util,old,yng,std
3000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
6000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
9000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
12000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
15000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
18000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
21000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
24000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
27000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
30000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
33000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
36000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
39000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
42000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
45000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
48000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
51000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
54000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
57000000,0.589000,0.589000,0.033333,0.400000,-16.984161,0,0,0.000000
60000000,0.603470,0.603470,0.033333,0.400000,0.008333,1,0,0.140000
63000000,0.603470,0.603470,0.033233,0.402360,0.008333,1,0,0.170587
66000000,0.603470,0.603470,0.033233,0.405320,0.009248,1,0,0.217945
69000000,0.603470,0.603470,0.033233,0.407980,0.009248,1,0,0.237487
72000000,0.603470,0.603470,0.033233,0.409440,0.011076,1,0,0.271293
75000000,0.603470,0.603470,0.033233,0.410160,0.011076,1,0,0.286182
78000000,0.603470,0.603470,0.033233,0.410400,0.011076,1,0,0.312890
81000000,0.603470,0.603470,0.033233,0.411160,0.011990,1,0,0.336304
84000000,0.603470,0.603470,0.033233,0.411360,0.011076,1,0,0.346987
87000000,0.617940,0.617940,0.033233,0.411220,0.011333,2,0,0.392938
90000000,0.617940,0.617940,0.033133,0.411880,0.011980,2,0,0.401373
93000000,0.617940,0.617940,0.033233,0.413840,0.011990,2,0,0.417013
96000000,0.617940,0.617940,0.033233,0.413120,0.013803,2,0,0.453762
99000000,0.617940,0.617940,0.033133,0.414920,0.013818,2,0,0.460000
102000000,0.617940,0.617940,0.033233,0.413840,0.013818,2,0,0.471593
105000000,0.617940,0.617940,0.033233,0.413140,0.013154,2,0,0.521920
108000000,0.617940,0.617940,0.033133,0.414920,0.013803,2,0,0.526403
111000000,0.617940,0.617940,0.033233,0.415680,0.014083,2,0,0.553082
114000000,0.617940,0.617940,0.033133,0.415100,0.014732,2,0,0.560268
117000000,0.617940,0.617940,0.033233,0.414840,0.014083,2,0,0.581034
120000000,0.617940,0.617940,0.033133,0.415180,0.014732,2,0,0.586856
123000000,0.617940,0.617940,0.033233,0.415200,0.014732,2,0,0.589492
