timestamp,WU,SAWU,w_util,r_util,g_util,old,yng,std
750000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
1500000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
2250000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
3000000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
3750000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
4500000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
5250000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
6000000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
6750000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
7500000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
8250000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
9000000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
9750000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
10500000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
11250000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
12000000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
12750000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
13500000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
14250000,0.622667,0.622667,0.133333,0.066667,0.000000,0,0,0.000000
15000000,0.628547,0.628547,0.133333,0.066667,0.033333,1,0,0.140000
15750000,0.628547,0.628547,0.132933,0.067047,0.033333,1,0,0.170587
16500000,0.628547,0.628547,0.132933,0.067547,0.036990,1,0,0.217945
17250000,0.628547,0.628547,0.132933,0.067907,0.044303,1,0,0.237487
18000000,0.628547,0.628547,0.132933,0.068127,0.044303,1,0,0.271293
18750000,0.628547,0.628547,0.132933,0.068347,0.047960,1,0,0.286182
19500000,0.628547,0.628547,0.132933,0.068467,0.051617,1,0,0.312890
20250000,0.628547,0.628547,0.132933,0.068547,0.047960,1,0,0.336304
21000000,0.628547,0.628547,0.132933,0.068507,0.047960,1,0,0.346987
21750000,0.628547,0.628547,0.132933,0.068567,0.047960,1,0,0.366606
22500000,0.628547,0.628547,0.132933,0.068627,0.051617,1,0,0.384187
23250000,0.628547,0.628547,0.132933,0.068567,0.047960,1,0,0.392301
24000000,0.628547,0.628547,0.132933,0.068587,0.051617,1,0,0.407308
24750000,0.628547,0.628547,0.132933,0.068627,0.051617,1,0,0.414246
25500000,0.628547,0.628547,0.132933,0.068667,0.055273,1,0,0.427083
26250000,0.628547,0.628547,0.132933,0.068647,0.055273,1,0,0.438634
27000000,0.628547,0.628547,0.132933,0.068547,0.055273,1,0,0.443959
27750000,0.628547,0.628547,0.132933,0.068587,0.058930,1,0,0.453762
28500000,0.628547,0.628547,0.132933,0.068627,0.058930,1,0,0.462493
29250000,0.628547,0.628547,0.132933,0.068587,0.062587,1,0,0.466476
30000000,0.628547,0.628547,0.132933,0.068607,0.066243,1,0,0.473709
30750000,0.628547,0.628547,0.132933,0.068567,0.307583,1,0,0.480000
31500000,0.634427,0.634427,0.132933,0.068547,0.052617,2,0,0.529150
32250000,0.634427,0.634427,0.132533,0.069147,0.056273,2,0,0.549455
33000000,0.634427,0.634427,0.132533,0.069667,0.063587,2,0,0.587452
33750000,0.634427,0.634427,0.132533,0.069987,0.063587,2,0,0.622495
34500000,0.634427,0.634427,0.132533,0.070227,0.063587,2,0,0.639062
35250000,0.634427,0.634427,0.132533,0.070387,0.063587,2,0,0.670522
36000000,0.634427,0.634427,0.132533,0.070467,0.067243,2,0,0.700000
36750000,0.634427,0.634427,0.132533,0.070367,0.067243,2,0,0.714073
37500000,0.634427,0.634427,0.132533,0.070507,0.067243,2,0,0.741013
38250000,0.634427,0.634427,0.132533,0.070527,0.067243,2,0,0.766485
39000000,0.634427,0.634427,0.132533,0.070467,0.067243,2,0,0.778717
39750000,0.634427,0.634427,0.132533,0.070547,0.070900,2,0,0.802247
40500000,0.634427,0.634427,0.132533,0.070507,0.074557,2,0,0.824621
41250000,0.634427,0.634427,0.132533,0.070627,0.074557,2,0,0.835404
42000000,0.634427,0.634427,0.132533,0.070467,0.078213,2,0,0.856213
42750000,0.634427,0.634427,0.132533,0.070587,0.078213,2,0,0.876071
43500000,0.634427,0.634427,0.132533,0.070507,0.085527,2,0,0.895042
44250000,0.634427,0.634427,0.132533,0.070507,0.085527,2,0,0.904213
45000000,0.634427,0.634427,0.132533,0.070547,0.081870,2,0,0.921955
45750000,0.634427,0.634427,0.132533,0.070507,0.092840,2,0,0.938935
46500000,0.634427,0.634427,0.132533,0.070627,0.315897,2,0,0.955196
47250000,0.640307,0.640307,0.132933,0.070367,0.071900,3,0,0.985698
48000000,0.640307,0.640307,0.132133,0.070507,0.068243,3,0,1.002946
48750000,0.640307,0.640307,0.132133,0.070987,0.075557,3,0,1.036291
49500000,0.640307,0.640307,0.132133,0.071687,0.082870,3,0,1.068222
50250000,0.640307,0.640307,0.132133,0.072147,0.082870,3,0,1.098863
51000000,0.640307,0.640307,0.132133,0.072207,0.082870,3,0,1.113732
51750000,0.640307,0.640307,0.132133,0.072367,0.082870,3,0,1.142628
52500000,0.640307,0.640307,0.132133,0.072187,0.082870,3,0,1.170470
53250000,0.640307,0.640307,0.132133,0.072327,0.086527,3,0,1.184018
54000000,0.640307,0.640307,0.132133,0.071987,0.090183,3,0,1.210413
54750000,0.640307,0.640307,0.132133,0.072347,0.090183,3,0,1.235921
55500000,0.640307,0.640307,0.132133,0.072407,0.090183,3,0,1.260595
56250000,0.640307,0.640307,0.132133,0.072447,0.093840,3,0,1.284484
57000000,0.640307,0.640307,0.132133,0.072527,0.089033,3,0,1.288410
57750000,0.640307,0.640307,0.132533,0.072227,0.093840,3,0,1.311335
58500000,0.640307,0.640307,0.132133,0.072067,0.093840,3,0,1.333566
59250000,0.640307,0.640307,0.132133,0.072247,0.097497,3,0,1.355138
60000000,0.640307,0.640307,0.132133,0.072247,0.101153,3,0,1.376081
60750000,0.640307,0.640307,0.132133,0.072207,0.101153,3,0,1.386326
61500000,0.640307,0.640307,0.132133,0.072527,0.115780,3,0,1.406378
62250000,0.640307,0.640307,0.132133,0.072547,0.439113,3,0,1.428425
63000000,0.646187,0.646187,0.132133,0.072107,0.087527,4,0,1.460959
63750000,0.646187,0.646187,0.131733,0.072807,0.087527,4,0,1.492514
64500000,0.646187,0.646187,0.131733,0.073627,0.091183,4,0,1.523155
65250000,0.646187,0.646187,0.131733,0.073567,0.094840,4,0,1.552933
66000000,0.646187,0.646187,0.131733,0.073607,0.091183,4,0,1.567514
66750000,0.646187,0.646187,0.131733,0.074147,0.098497,4,0,1.596089
67500000,0.646187,0.646187,0.131733,0.074187,0.105810,4,0,1.623915
68250000,0.646187,0.646187,0.131733,0.074187,0.105810,4,0,1.651030
69000000,0.646187,0.646187,0.131733,0.074407,0.100973,4,0,1.671497
69750000,0.646187,0.646187,0.131933,0.074467,0.105810,4,0,1.697380
70500000,0.646187,0.646187,0.131733,0.074007,0.109467,4,0,1.710088
71250000,0.646187,0.646187,0.131733,0.074127,0.113123,4,0,1.735051
72000000,0.646187,0.646187,0.131733,0.074287,0.113123,4,0,1.759432
72750000,0.646187,0.646187,0.131733,0.074327,0.120437,4,0,1.783255
73500000,0.646187,0.646187,0.131733,0.074147,0.120437,4,0,1.806544
74250000,0.646187,0.646187,0.131733,0.074267,0.124093,4,0,1.829316
75000000,0.646187,0.646187,0.131733,0.074247,0.127750,4,0,1.851594
75750000,0.646187,0.646187,0.131733,0.074187,0.131407,4,0,1.873393
76500000,0.646187,0.646187,0.131733,0.074187,0.135063,4,0,1.894729
77250000,0.646187,0.646187,0.131733,0.074507,0.432910,4,0,1.905019
78000000,0.652067,0.652067,0.131693,0.073347,0.099497,5,0,1.951000
78750000,0.652067,0.652067,0.131333,0.074207,0.099497,5,0,1.965986
79500000,0.652067,0.652067,0.131333,0.075327,0.103153,5,0,1.995471
80250000,0.652067,0.652067,0.131333,0.075507,0.103153,5,0,2.024327
81000000,0.652067,0.652067,0.131333,0.076207,0.106810,5,0,2.052585
81750000,0.652067,0.652067,0.131333,0.075927,0.114123,5,0,2.080265
82500000,0.652067,0.652067,0.131333,0.076247,0.121437,5,0,2.107391
83250000,0.652067,0.652067,0.131333,0.076107,0.121437,5,0,2.120755
84000000,0.652067,0.652067,0.131333,0.076227,0.125573,5,0,2.137756
84750000,0.652067,0.652067,0.131333,0.075547,0.128750,5,0,2.163700
85500000,0.652067,0.652067,0.131333,0.075947,0.132407,5,0,2.189155
86250000,0.652067,0.652067,0.131333,0.075967,0.136063,5,0,2.214136
87000000,0.652067,0.652067,0.131333,0.076387,0.136063,5,0,2.238660
87750000,0.652067,0.652067,0.131333,0.076167,0.139720,5,0,2.262742
88500000,0.652067,0.652067,0.131333,0.076107,0.139720,5,0,2.286394
89250000,0.652067,0.652067,0.131333,0.076447,0.143377,5,0,2.309632
90000000,0.652067,0.652067,0.131333,0.076227,0.154347,5,0,2.332465
90750000,0.652067,0.652067,0.131333,0.076387,0.158003,5,0,2.354909
91500000,0.652067,0.652067,0.131333,0.076567,0.424597,5,0,2.360847
92250000,0.657947,0.657947,0.132933,0.074207,0.111467,6,0,2.384848
93000000,0.657947,0.657947,0.130933,0.075547,0.111467,6,0,2.414354
93750000,0.657947,0.657947,0.130933,0.076587,0.118780,6,0,2.443338
94500000,0.657947,0.657947,0.130933,0.077327,0.122437,6,0,2.471821
95250000,0.657947,0.657947,0.130933,0.077667,0.126093,6,0,2.499820
96000000,0.657947,0.657947,0.130933,0.077827,0.133407,6,0,2.527351
96750000,0.657947,0.657947,0.130933,0.078167,0.124750,6,0,2.538720
97500000,0.657947,0.657947,0.130933,0.078107,0.138143,6,0,2.552176
98250000,0.657947,0.657947,0.130933,0.077127,0.144377,6,0,2.578759
99000000,0.657947,0.657947,0.130933,0.076907,0.148033,6,0,2.617843
99750000,0.657947,0.657947,0.130933,0.077947,0.148033,6,0,2.643388
100500000,0.657947,0.657947,0.130933,0.078287,0.148033,6,0,2.668538
101250000,0.657947,0.657947,0.130933,0.078027,0.151690,6,0,2.693307
102000000,0.657947,0.657947,0.130933,0.078467,0.159003,6,0,2.717701
102750000,0.657947,0.657947,0.130933,0.078227,0.162660,6,0,2.741733
103500000,0.657947,0.657947,0.130933,0.078427,0.169973,6,0,2.765411
104250000,0.657947,0.657947,0.130933,0.078427,0.165893,6,0,2.777966
105000000,0.657947,0.657947,0.130933,0.076927,0.177287,6,0,2.801054
105750000,0.663827,0.663827,0.132933,0.076747,0.117383,7,0,2.821541
106500000,0.663827,0.663827,0.130533,0.076567,0.127093,7,0,2.850877
107250000,0.663827,0.663827,0.130533,0.077987,0.130750,7,0,2.879774
108000000,0.663827,0.663827,0.130533,0.078707,0.130750,7,0,2.908247
108750000,0.663827,0.663827,0.130533,0.079467,0.138063,7,0,2.936308
109500000,0.663827,0.663827,0.130533,0.079947,0.152690,7,0,2.963966
110250000,0.663827,0.663827,0.130533,0.079947,0.152690,7,0,2.991237
111000000,0.663827,0.663827,0.130533,0.079547,0.156347,7,0,3.018127
111750000,0.663827,0.663827,0.130533,0.079367,0.160003,7,0,3.044652
112500000,0.663827,0.663827,0.130533,0.079867,0.146140,7,0,3.054489
113250000,0.663827,0.663827,0.132433,0.077827,0.163660,7,0,3.093283
114000000,0.663827,0.663827,0.130533,0.078767,0.167317,7,0,3.118718
114750000,0.663827,0.663827,0.130533,0.079407,0.167317,7,0,3.143819
115500000,0.663827,0.663827,0.130533,0.078947,0.170973,7,0,3.168596
116250000,0.663827,0.663827,0.130533,0.079187,0.174630,7,0,3.193055
117000000,0.663827,0.663827,0.130533,0.079747,0.181943,7,0,3.217203
117750000,0.663827,0.663827,0.130653,0.079847,0.192913,7,0,3.249785
118500000,0.663827,0.663827,0.132133,0.079307,0.335067,7,0,3.260967
119250000,0.669707,0.669707,0.130933,0.079307,0.139063,8,0,3.310152
120000000,0.669707,0.669707,0.130133,0.080467,0.142720,8,0,3.338787
120750000,0.669707,0.669707,0.130133,0.081567,0.142720,8,0,3.367061
121500000,0.669707,0.669707,0.130133,0.081527,0.150033,8,0,3.394982
122250000,0.669707,0.669707,0.130133,0.081947,0.161003,8,0,3.422558
123000000,0.669707,0.669707,0.130133,0.082347,0.164660,8,0,3.449798
123750000,0.669707,0.669707,0.130133,0.081887,0.168317,8,0,3.476708
124500000,0.669707,0.669707,0.130533,0.081447,0.168667,8,0,3.500442
125250000,0.669707,0.669707,0.130133,0.081827,0.171973,8,0,3.539775
126000000,0.669707,0.669707,0.130133,0.081887,0.175630,8,0,3.565614
126750000,0.669707,0.669707,0.130133,0.081567,0.175630,8,0,3.591157
127500000,0.669707,0.669707,0.130133,0.082627,0.179287,8,0,3.616408
128250000,0.669707,0.669707,0.130133,0.082587,0.179287,8,0,3.641373
129000000,0.669707,0.669707,0.130133,0.082107,0.182943,8,0,3.678301
129750000,0.669707,0.669707,0.130133,0.082367,0.193913,8,0,3.702582
130500000,0.669707,0.669707,0.130133,0.081707,0.201227,8,0,3.726592
131250000,0.669707,0.669707,0.130133,0.082327,0.325667,8,0,3.751480
132000000,0.669707,0.669707,0.131393,0.081827,0.149407,9,0,3.770027
132750000,0.675587,0.675587,0.129733,0.079487,0.154690,9,0,3.798354
133500000,0.675587,0.675587,0.129733,0.081127,0.158347,9,0,3.826368
134250000,0.675587,0.675587,0.129733,0.081947,0.165660,9,0,3.854075
135000000,0.675587,0.675587,0.129733,0.082147,0.172973,9,0,3.881481
135750000,0.675587,0.675587,0.129733,0.082987,0.176630,9,0,3.922040
136500000,0.675587,0.675587,0.129733,0.084047,0.180287,9,0,3.948723
137250000,0.675587,0.675587,0.129733,0.083787,0.164813,9,0,3.960001
138000000,0.675587,0.675587,0.132133,0.082907,0.180287,9,0,3.986227
138750000,0.675587,0.675587,0.129733,0.083107,0.187600,9,0,4.025061
139500000,0.675587,0.675587,0.129733,0.083507,0.187600,9,0,4.050617
140250000,0.675587,0.675587,0.129733,0.083607,0.187600,9,0,4.075916
141000000,0.675587,0.675587,0.129733,0.083987,0.191257,9,0,4.100963
141750000,0.675587,0.675587,0.129733,0.084187,0.202227,9,0,4.138067
142500000,0.675587,0.675587,0.129733,0.084107,0.209540,9,0,4.162498
